Rank,Word,PartOfSpeech,Definition
0,и,conjunction,and;though
1,в,preposition,in;at
2,не,particle,not
3,он,pronoun,he
4,на,preposition,on;it;at;to
5,я,pronoun,I
6,что,conjunction;pronoun,what;that;which;why
7,тот,adjective;pronoun,that
8,быть,verb,to be
9,с,preposition,with;and;from;of
10,а,conjunction,while;and;but
11,весь,pronoun;noun,all;everything
12,это,pronoun,that;this;it
13,как,adverb;conjunction,how;what;as;like
14,она,pronoun,she
15,по,preposition,on;along;by
16,но,conjunction;noun,but
17,они,pronoun,they
18,к,preposition,to;for;by
19,у,preposition,by;with;of
20,ты,pronoun,you;thou
21,из,preposition,from;of;in
22,мы,pronoun,we
23,за,preposition,behind;over;at;after
24,вы,pronoun,you
25,так,adverb,so;thus;then
26,же,conjunction;particle,and;as for;but;same
27,от,preposition,from;of;for
28,сказать,verb,to say;to speak
29,этот,pronoun,this
30,который,pronoun,which;who;that
31,мочь,verb,be able
32,человек,noun,man;person
33,о,preposition,of;about;against
34,один,cardinal number;pronoun,one;some;alone
35,ещё,adverb,still;yet
36,бы,particle,would
37,такой,pronoun,such;so;some
38,только,adverb;conjunction,only;merely;but
39,себя,pronoun;particle,myself;himself;herself
40,своё,pronoun;noun,one's own;my;our
41,какой,pronoun,what;which;how
42,когда,adverb;conjunction,when;while;as
43,уже,adverb,already;by now
44,для,preposition,for;to
45,вот,particle,here;there;this is;that's
46,кто,pronoun,who;that;some
47,да,conjunction;particle,yes;but
48,говорить,verb,to say;to tell;to speak
49,год,noun,year
50,знать,verb,to know;be aware
51,мой,pronoun,my;mine
52,до,preposition,to;up to;about;before
53,или,conjunction,or
54,если,conjunction,if
55,время,noun,time;season
56,рука,noun,hand;arm
57,нет,negation,no;not;but
58,самый,pronoun,most;the very;the same
59,ни,conjunction;particle,not a;not;neither… nor
60,стать,verb,to become;begin;come
61,большой,adjective,big;large;important
62,даже,particle,even
63,другой,pronoun,other;another;different
64,наш,pronoun,our;ours
65,свой,pronoun,my;our;your
66,ну,interjection;particle,now;right;well;come on
67,под,preposition,under;for;towards;to
68,где,adverb,where
69,дело,noun,business;affair;matter
70,есть,verb,to eat;to be
71,сам,pronoun,myself;yourself
72,раз,noun;adverb,time;once;since
73,чтобы,conjunction;particle,that;in order that
74,два,cardinal number,two
75,там,adverb,there;then
76,чем,conjunction;particle,than;instead of
77,глаз,noun,eye;sight
78,жизнь,noun,life
79,первый,adjective;number,first;front;former
80,день,noun,day
81,тут,adverb,here;now;then
82,во,preposition;particle,in;at;super;exactly
83,ничто,pronoun,nothing
84,потом,adverb,afterwards;then
85,очень,adverb,very
86,со,preposition,with
87,хотеть,verb,to want;like
88,ли,conjunction;particle,whether;if
89,при,preposition,attached to;in the presence of;by;about
90,голова,noun,head;mind;brains
91,надо,prep;verb,over;above;ought to
92,без,preposition,without
93,видеть,verb,to see
94,идти,verb,to go;come
95,теперь,adverb,now;nowadays
96,тоже,adverb,also;as well;too
97,стоять,verb,to stand;be;stand up
98,друг,noun,friend
99,дом,noun,house;home
